Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Cream of Wheat,87,2,0.2,0.1,0,0,177.4,18.9,0.7,0.1,2.7,0,0,0,41,0,1,0,0,1,0,0,0,0,0,0
Oatmeal,265,43,4.7,0.9,0,0,0,51,7.6,0,11.3,0,0,4,19,0,1,0,0,0,0,0,0,0,0,0
Egg White,40,0,0,0,0,0,134.4,0.9,0,,8.3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Omelet Bar,86,57,6.3,1.9,0.4,159,83.2,0.9,0,0.8,5.7,7,0,4,4,1,0,0,0,0,0,1,1,0,0,0
Beef,27,12,1.4,0.5,,11.3,7.7,0,0,0,3.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Bell Pepper,2,0,0,0,,0,0.2,0.5,0.1,0.3,0.1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,1
Canadian Ham,11,4,0.5,0.2,,3.5,99.9,0.1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cheddar Cheese,57,42,4.7,3,,14.9,88,0.2,0,0.1,3.5,3,0,10,1,1,0,0,0,0,0,1,0,0,0,1
Diced Tomatoes,5,1,0.1,0,0,0,1.4,1.1,0.3,0.7,0.3,5,6,0,0,0,1,0,0,0,0,0,0,0,0,1
Feta Cheese,75,54,6,4.2,,25.2,316.4,1.2,0,1.2,4,2,0,14,1,1,0,0,0,0,0,1,0,0,0,1
Kale,4,0,0.1,0,0,0,3,0.7,0.1,,0.2,22,14,1,1,0,1,0,0,0,0,0,0,0,0,1
Mushroom,3,0,0,0,0,0,0.2,0.5,0.2,0.2,0.2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Onion,5,0,0,0,0,0,0.5,1.2,0.2,0.6,0.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
Spinach,2,0,0,0,0,0,5.6,0.3,0.2,0,0.2,13,3,1,1,0,1,0,0,0,0,0,0,0,0,1
Pork Patty w/ Rice & Poached Egg,229,106,11.7,4,0,212.5,473.4,16.5,1.2,8.1,15.1,26,32,5,10,0,0,0,0,1,1,1,1,0,0,0
Red Potato Hash,65,12,1.3,0.2,0,0,88.7,12.1,1.2,1.4,1.4,0,13,1,2,0,1,0,0,0,0,0,0,0,0,0
Scrambled Egg Whites,64,23,2.6,0.4,0,0,136.9,0.9,0,0,8.8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Scrambled Eggs,132,96,10.6,2.8,0.5,203.5,106.6,1.2,0,1.1,7.3,8,0,5,5,1,0,0,0,0,0,1,1,0,0,0
Four Grain Waffles,114,46,5.1,0.8,0,8.5,73.4,14.5,1.5,2.9,3.5,1,0,3,4,1,0,0,0,1,0,1,1,0,0,0
Apple & Asian Pear Compote,31,3,0.3,0,0,0,2.3,7.5,1.3,5.5,0.2,1,7,1,0,0,1,0,0,0,0,0,0,0,0,1
Maple Syrup,39,0,0,0,0,0,1.8,9.9,0,9,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1
Vegetable Stuffed Whole Wheat Crepe,198,125,13.9,2.8,0,37.5,176.5,14.9,1,2.1,4.4,5,11,6,7,1,0,0,0,1,0,1,1,0,0,0
Blood Oranges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grapefruit,38,1,0.1,0,0,0,0,9.8,1.5,6.3,0.7,21,48,2,0,0,1,0,0,0,0,0,0,0,0,0
Pineapple,11,0,0,0,0,0,0.2,3,0.3,2.2,0.1,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0
Red Grapes,19,1,0.1,0,0,0,0.6,4.9,0.3,4.6,0.2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Honey Whole Wheat Bread,97,12,1.3,0,0,0,159.1,16.8,4.4,3.5,4.4,0,0,13,5,1,0,0,0,1,1,0,0,0,0,0
Lemon Blueberry Bread,98,28,3.2,1.8,0.1,17.3,57.5,17,0.2,11.1,1.1,2,2,1,4,1,0,0,0,1,0,1,1,0,0,0
Spiced Gingerbread,115,37,4.1,0.4,0,10.2,60.5,17.6,0.3,0.3,1.9,0,1,3,8,1,0,0,0,1,0,0,1,0,0,0
Almond Cashew Butter,166,127,14.1,1.8,0,0,76.4,7.4,2.2,1.4,5.3,0,0,5,7,0,1,1,1,0,0,0,0,0,0,0
Blueberry & Roasted Red Grape Marmalade,99,4,0.5,0,0,2.3,6.3,20.3,3.3,13.7,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Pear-Date Compote,50,0,0,0,0,0,0.3,13.4,1.3,11.5,0.3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
