Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Chilaquiles Con Huevo,1047,543,60.2,16.2,0.6,295.4,1351.5,93.2,18.9,3.1,38.4,80,8,57,96,1,0,0,0,1,0,1,1,0,0,0
Cream of Wheat,87,2,0.2,0.1,0,0,177.4,18.9,0.7,0.1,2.7,0,0,0,41,0,1,0,0,1,0,0,0,0,0,0
Refried Beans,100,42,4.7,0.7,0,0,124.4,11.3,3.7,0.3,3.7,0,4,2,13,0,1,0,0,0,0,0,0,0,0,0
Sweet Potato Tater Tots,108,34,3.8,6.4,0,0,38.1,20.3,1.3,5.1,1.3,330,19,3,3,0,1,0,0,1,0,0,0,0,0,0
Oatmeal,159,26,2.8,0.6,0,0,101.4,30.6,4.5,0,6.8,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0
Breakfast Potato Hash,91,10,1.1,0.2,0,0,192.7,18.1,1.7,1.5,2.1,1,23,1,4,1,0,0,0,0,1,1,0,0,0,0
Egg White,40,0,0,0,0,0,134.4,0.9,0,,8.3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Omelet Bar,86,57,6.3,1.9,0.4,159,83.2,0.9,0,0.8,5.7,7,0,4,4,1,0,0,0,0,0,1,1,0,0,0
Scrambled Egg Whites,43,15,1.7,0.2,0,0,91.3,0.6,0,0,5.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bacon,84,59,6.5,2.1,0,17.2,360.2,0.2,0,0,5.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Bay Shrimp,34,5,0.5,0,0,57.4,81,0,0,0,7.1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1
Cheddar Cheese,114,85,9.4,6,,29.8,176.1,0.4,0,0.1,7.1,6,0,20,1,1,0,0,0,0,0,1,0,0,0,1
Diced Green Peppers,8,1,0.1,0,,0,0.6,1.9,0.3,0.9,0.3,3,35,0,1,0,1,0,0,0,0,0,0,0,0,1
Diced Tomatoes,5,1,0.1,0,0,0,1.4,1.1,0.3,0.7,0.3,5,6,0,0,0,1,0,0,0,0,0,0,0,0,1
Feta Cheese,75,54,6,4.2,,25.2,316.4,1.2,0,1.2,4,2,0,14,1,1,0,0,0,0,0,1,0,0,0,1
Fresh Asparagus Spears,7,1,0.1,0,0,0,4.6,1.3,0.7,0.4,0.8,7,4,1,2,0,1,0,0,0,0,0,0,0,0,1
Ham,46,22,2.4,0.8,0,16.2,369.7,1.1,0.4,0,4.7,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1
Lox Trimmings,33,11,1.2,0.3,,6.5,567,0,0,0,5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Sliced Mushrooms,6,1,0.1,0,0,0,1.4,0.9,0.3,0.6,0.9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Spinach,7,1,0.1,0,0,0,22.4,1,0.6,0.1,0.8,53,13,3,4,0,1,0,0,0,0,0,0,0,0,1
Steamed Broccoli,10,1,0.1,0,0,0,12.2,2.1,1,0.4,0.7,9,32,1,1,0,1,0,0,0,0,0,0,0,0,1
Bacon,81,56,6.3,2.1,0,16.5,345.8,0.2,0,0,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Breakfast Potato Hash,91,10,1.1,0.2,0,0,192.7,18.1,1.7,1.5,2.1,1,23,1,4,1,0,0,0,0,1,1,0,0,0,0
Fried Eggs,98,76,8.5,2.1,0.3,121.9,63.9,0.7,0,0.6,4.4,8,0,3,3,1,0,0,0,0,1,1,1,0,0,0
Kielbasa,122,91,10.1,4.1,0,50.6,445.5,0,0,0,9.1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
Scrambled Eggs,15,10,1.1,0.3,0.1,27.2,14.2,0.2,0,0.1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0
Belgian Waffle,171,73,8.1,1.3,0,30,359.3,20.7,,,3.6,1,0,7,5,1,0,0,0,1,1,1,1,0,0,0
Bananas Foster,44,17,1.9,1.2,0.1,4.8,20.4,7.4,0.2,3,0.1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
Blueberry Topping,41,1,0.1,,,0,17.4,10,,,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Strawberry Topping,27,0,0,0,0,0,6,6.9,0.3,2.6,0.1,1,10,0,1,0,1,0,0,0,0,0,0,0,0,0
Banana Walnut Muffin,176,103,11.4,1.2,0,21.4,142.8,16.8,0.5,9.2,2.2,1,0,3,3,1,0,0,1,1,1,1,1,0,0,0
Blueberry Muffin,166,89,9.8,1.5,0,22.3,153.4,18.2,0.4,10.2,1.7,1,0,3,2,1,0,0,0,1,1,1,1,0,0,0
Mini Almond Bear Claw,109,58,6.4,1.5,0,11.7,75.8,11.6,0.5,6.6,1.8,0,1,2,3,1,0,0,1,1,1,1,1,0,0,0
Mini Croissant,155,81,9,5.5,0.5,22.5,145.1,16,0.5,2,2.5,2,1,0,5,1,0,0,0,1,1,1,1,0,0,0
