Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
Breakfast Box,478,202,22.4,5.1,0,391,615.1,46.1,2.8,18.9,24.4,13,26,17,22,1,0,1,1,1,1,1,1,0,0,0
Cold Cereal,86,3,0.3,,,0,207.9,16.9,0.3,1.9,3.6,,0,0,17,1,0,0,0,0,0,0,0,0,0,0
Dannon Yogurt Cup,274,27,3,0.1,,1.2,174.7,56.9,0,28,7.4,0,1,12,12,1,0,0,1,1,1,1,0,0,0,0
Ham & Cheese Croissant,823,385,42.7,23.5,,172.4,2690.3,61,3.3,14.3,46.7,,,,,0,0,0,0,1,0,1,1,0,0,0
Spinach & Cheese Croissant,614,282,31.2,17.7,,101.7,1079.4,63.1,5.3,14.4,20.3,,,,,1,0,0,0,1,0,1,1,0,0,0
Steel-Cut Oatmeal Cup,159,26,2.8,0.6,0,0,162.3,30.6,4.5,0,6.8,0,0,2,22,0,1,0,0,0,0,0,0,0,0,0
Blueberry & Apple Oatmeal Parfait Cup,381,85,9.4,0.9,0,2.8,87.1,69,9.1,38.4,10.1,5,8,16,15,1,0,0,1,0,0,1,0,0,0,0
Fresh Berry Parfait,231,4,0.5,0,0,0,128.5,25.6,4.4,20.1,31.1,2,53,25,3,1,0,0,0,0,0,1,0,0,0,0
Fresh Fruit Cup,76,3,0.4,0.1,0,0,19.9,18.9,1.4,16.8,1.3,54,65,2,2,0,1,0,0,0,0,0,0,0,0,0
Vanilla Yogurt Parfait Cup,524,64,7.1,3,0,18.4,348.7,97.3,1.7,73.4,22,4,26,65,11,1,0,0,1,1,0,1,0,0,0,0
Build-Your-Own Breakfast Bowl,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Build-Your-Own Yogurt Bowl,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Banana,117,4,0.4,0.1,0,0,1.3,29.9,3.4,16,1.4,2,19,1,2,0,1,0,0,0,0,0,0,0,0,0
Fuji Apple,59,2,0.2,0,0,0,1.1,15.6,2.7,11.8,0.3,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0
Granny Smith Apple,116,3,0.4,0.1,0,0,2.2,30.8,5.4,23.2,0.6,2,17,1,1,0,1,0,0,0,0,0,0,0,0,0
Orange,45,1,0.1,0,0,0,0,11.2,2.3,8.9,0.9,4,85,4,1,0,1,0,0,0,0,0,0,0,0,0
Apple Juice,82,2,0.2,0,0,0,7.1,20,0.4,17.1,0.2,0,114,1,1,0,1,0,0,0,0,0,0,0,0,0
Bigelow Assorted Tea,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate Milk,199,29,3.2,1.9,0.1,9.5,192.8,33,1.6,31.4,10.2,12,5,37,5,1,0,0,0,0,0,1,0,0,0,0
Fat-Free Milk,129,7,0.8,0.5,0,6.3,186,17.5,0,13.9,12.5,13,6,45,1,1,0,0,0,0,0,1,0,0,0,0
Low-Fat Milk,161,55,6.1,3.8,0.2,25.3,164.3,15.7,0,13.9,11,13,5,40,1,1,0,0,0,0,0,1,0,0,0,0
Orange Juice,111,3,0.4,0,0,0,9.5,26,0.7,20.7,1.6,8,119,2,1,0,1,0,0,0,0,0,0,0,0,0
Vanilla Soy Milk,128,37,4.1,0.5,0,0,120.8,14.9,1.4,9.4,7.7,0,0,6,8,0,1,0,0,0,1,0,0,0,0,0
Bacon,81,56,6.3,2.1,0,16.5,345.8,0.2,0,0,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Extra Avocado,42,35,3.9,0.6,0,0,1.9,2.3,1.8,0.2,0.5,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Caesar Salad,68,36,4,2.5,0,10.2,244.9,2.3,1.2,0.8,6.1,101,4,20,4,1,0,0,0,0,0,1,0,0,0,0
Mixed Green Salad,141,107,11.8,2.5,0,16.2,433.1,5.3,1.2,2.4,4.5,96,14,12,3,1,0,0,0,0,1,1,0,0,0,0
