Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
Bianco Pizzetta,1097,697,77.3,42.7,1.4,247.2,1478.3,70.6,3.7,1.9,36.8,113,15,61,78,1,0,0,0,1,0,1,0,0,0,0
Bolognese Pizzetta,700,284,31.5,14.6,0,80.4,1344.3,68.1,4.5,3.5,41.7,62,21,73,46,0,0,0,0,1,1,1,0,0,0,0
Formaggio Di Capra Pizzetta,709,344,38.2,15.3,0,69.1,1419.8,64.3,5.6,10.7,34.2,29,30,47,38,1,0,0,0,1,0,1,0,0,0,0
Genova Pizzetta,838,327,36.3,14.2,0,140.1,1620.9,68.4,3.7,3.7,63,25,9,62,39,0,0,0,1,1,0,1,0,0,0,0
Il Carnivora Pizzetta,809,377,41.8,18.5,0.5,109.4,1647,67.1,3.1,2,44.5,8,7,44,32,0,0,0,0,1,1,1,1,0,0,0
Margherita Pizzetta,511,167,18.5,8.5,0,46.3,930.8,65.4,4.2,4.2,26.8,16,25,39,34,1,0,0,0,1,0,1,0,0,0,0
Pepperoni Pizzetta,819,399,44.2,19.3,0.7,109.8,2072.8,63.8,3.3,3.4,45.6,16,10,69,30,0,0,0,0,1,0,1,0,0,0,0
Salsiccia Pizzetta,709,340,37.7,14.7,0.2,86.8,1316.2,63.4,3.5,3.3,33.6,12,10,40,28,0,0,0,0,1,0,1,0,0,0,0
Tre Formaggi Pizzetta,661,268,29.7,15.7,0,75.9,1568.6,64.4,3.4,3.5,39.3,28,12,77,28,1,0,0,0,1,0,1,0,0,0,0
Tre Funghi Pizzetta,514,164,18.2,8.1,0,44.8,1260.5,67.1,4.7,4,26.9,17,19,33,54,1,0,0,0,1,0,1,0,0,0,0
Vegetarian Genova Pizzetta,617,244,27,12.4,0,57.6,1195.2,65.3,3,3.7,32.2,19,6,58,23,1,0,0,1,1,0,1,0,0,0,0
Verdura Arrosto Pizzetta,546,189,21,2.7,0,0,556.2,80.3,5.3,9.1,17.2,25,114,19,28,0,1,0,0,1,0,0,0,0,0,0
Campania Panini,423,156,17.3,6.4,0,18.5,494.8,50.6,3.9,4,20.7,34,89,32,17,1,0,0,0,1,0,1,0,0,0,0
Caprese Panini,611,362,40.2,15,0,69.2,580.5,42.6,3,7.2,37.5,36,29,8,6,1,0,0,0,1,1,1,0,0,0,0
Florentino Panini,716,283,31.3,7.2,0,131.1,1040.7,57.2,2.9,4.3,55.1,40,17,21,37,0,0,0,1,1,1,1,1,0,0,0
Italian Sub,822,420,46.6,15.3,0.2,76,2576.1,74.1,13.1,6.8,31.7,25,14,62,83,0,0,0,0,1,1,1,0,0,0,0
Melanzana Panini,414,139,15.5,5.6,0,17.4,1044.9,51,5.2,5.7,18.7,12,23,33,20,1,0,0,0,1,0,1,0,0,0,0
Pollo Parma Panini,681,208,23.1,7,0,129.1,1034.4,61.7,4.3,4.9,58.4,12,10,30,40,0,0,0,0,1,0,1,0,0,0,0
Tacchino Panini,815,560,62.1,13.3,0,64.4,770.7,50.1,2.6,1.9,19.7,19,20,32,18,0,0,0,0,1,1,1,1,0,0,0
Tuscano Panini,742,321,35.6,10.8,0,100.9,2255.9,62.2,5.2,6.7,44.6,123,40,31,39,0,0,0,0,1,0,1,0,0,0,0
Vegan Campania Panini,439,153,16.9,3.1,0,0,580,60.8,4.3,16.3,16.6,36,49,44,30,0,1,0,0,1,0,0,0,0,0,0
Polpetta Italiano,671,282,31.3,15.8,0,109.1,1935.9,61.6,1.4,5,36.4,12,5,41,29,0,0,0,0,1,1,1,1,0,0,0
Gamberetti Salad,888,670,74.3,17.3,0,222.6,2004,19.3,3.2,2.5,37.6,213,20,70,15,0,0,0,0,1,1,1,1,1,1,0
Insalata di Salmone,401,227,25.1,4.4,0,37.8,1286.4,17.1,2.7,12.7,25.2,158,81,18,28,0,0,0,0,0,1,0,0,0,1,0
Pollo Verdura Salad,877,487,54,10.3,0,147.8,906.1,41.5,10.6,15.8,61.3,428,39,24,47,0,0,0,0,0,1,1,0,0,0,0
Tagliata Salad,530,362,40.2,10.4,0,44.8,1679.3,27.8,9.1,8.3,18.6,427,203,28,56,0,0,0,0,0,0,1,0,0,0,0
Vegan Tagliata Salad,329,219,24.3,3.3,0,0,860.8,26.7,9.1,8,5.9,423,203,14,53,0,1,0,0,0,0,0,0,0,0,0
Vegetarian Tagliata Salad,431,279,31,7,0,22.4,953.8,29.5,7.9,8.3,13.7,427,201,29,57,1,0,0,0,0,0,1,0,0,0,0
Caesar Salad,398,367,40.6,7.4,0,33.5,443.3,4.8,1.3,0.8,5.5,103,12,16,6,0,0,0,0,0,1,1,1,0,1,0
Parmesan-Herb Roll,158,23,2.6,0.6,0,1.6,185.5,29.1,1.2,0.3,6.8,0,0,4,9,1,0,0,0,1,0,1,0,0,0,0
Lasagna Bolognese,799,377,41.8,20.4,0,174.6,1322.6,64.3,4.7,9.3,43.7,52,28,75,51,0,0,0,0,1,1,1,1,0,0,0
Lasagna Marinara,818,362,40.1,18.9,0,170.3,1955.2,78.4,4.8,16.4,40.7,36,18,75,27,1,0,0,0,1,0,1,1,0,0,0
Caesar Salad,68,36,4,2.5,0,10.2,244.9,2.3,1.2,0.8,6.1,101,4,20,4,1,0,0,0,0,0,1,0,0,0,0
