Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
Assorted Tazo Brewed Tea,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Decaffeinated Coffee,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Assorted Bagels,200,11,1.3,0.3,0,0,403.3,39.4,1.7,3.9,7.8,0,1,7,26,0,0,0,0,1,1,0,0,0,0,0
Banana Walnut Muffin,790,463,51.3,5.6,0,96.4,642.8,75.8,2.2,41.2,9.8,3,1,15,13,1,0,0,1,1,1,1,1,0,0,0
Blueberry Muffin,787,420,46.5,7.1,0.1,105.8,726.9,86.1,1.8,48.3,8,4,1,16,11,1,0,0,0,1,1,1,1,0,0,0
Blueberry Strudel Parfait,429,125,13.9,4.2,0,10.2,272.1,63.7,6,37.4,14.3,12,7,35,12,1,0,0,0,1,0,1,0,0,0,0
Butter Croissant,448,228,25.3,0,0,0,576.4,46.2,0.4,0,9.3,3,0,5,22,1,0,0,0,1,1,1,1,0,0,0
Cheese Croissant,408,194,21.5,11.3,0,28.3,362.8,46.5,1.1,17,6.8,17,0,5,7,1,0,0,0,1,1,1,1,0,0,0
Cheese Danish,350,185,20.5,6.4,,21.5,301.2,34.8,0.9,6.5,7.5,2,0,3,8,1,0,0,1,1,1,1,1,0,0,0
Chocolate Hazelnut  Croissant,391,199,22.1,0,0,0,503.3,40.3,0.4,0,8.1,3,0,4,19,1,0,0,1,1,1,1,1,0,0,0
Cornetto Di Albicocca,520,345,38.3,11.6,2.2,966.3,505.8,5.6,0,5,34.8,40,0,23,25,1,0,0,0,1,1,1,1,0,0,0
Raspberry Danish,415,193,21.4,6.4,0,58.2,332.6,49.3,0,7.6,6.8,6,0,5,10,1,0,0,1,1,1,0,1,0,0,0
