Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Turkey Noodle Soup,59,23,2.5,0.5,0,13.9,94.5,3,0.5,0.8,5.9,28,2,1,2,0,0,0,0,1,1,1,0,0,0,0
Tuscan Bean Soup,92,7,0.8,0.1,0,0,585.1,16.9,4.9,1.7,5.9,4,12,6,9,0,1,0,0,0,1,0,0,0,0,0
Cod w/ Spicy Roma Sauce over Herbed Spaghetti,146,53,5.9,0.8,0,23.3,716.3,14.1,2.9,2,10.6,17,33,4,9,0,0,0,0,1,0,0,0,0,1,0
Chickpea Panisse Mixed Grains & Rapini Bowl,174,54,6,0.8,0,0,209.6,24.3,4.1,2.3,6.5,33,24,6,10,0,1,0,0,1,1,0,0,0,0,0
Lemongrass Beef w/ Brown Rice & Cucumber Relish,181,44,4.9,2,0,50.3,248,15,0.6,3.5,19.3,2,7,4,16,0,0,0,0,1,1,0,0,0,0,0
Volcano Rice & Red Beans,20,2,0.2,0,0,0,59.5,3.9,0.2,0.1,0.6,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0
Grilled Plantains,69,2,0.2,0.1,0,0,2.3,18.1,1.3,8.5,0.7,13,17,0,2,0,1,0,0,0,0,0,0,0,0,1
Brown Calrose Rice,58,4,0.4,0.1,0,0,0.5,12.1,0.9,,1.2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
Roasted Baby Carrots,45,17,1.9,0.3,0,0,116.5,6.8,2.1,3.8,0.6,186,4,2,4,0,1,0,0,0,0,0,0,0,0,0
Sauteed Bok Choy,16,5,0.6,0.1,0,0,87.2,2.2,0.8,1.1,1.3,70,60,8,4,0,1,0,0,0,0,0,0,0,0,0
Marinated Roma Tomato Pizza,159,52,5.8,1.9,0,8.2,59.7,22.4,1.6,0.7,5.8,4,6,2,9,1,0,0,0,1,0,1,0,0,0,0
Roasted Pork w/ Grilled Pineapple Pizza,173,32,3.6,1.1,0,16.8,218.8,26.7,1.8,4.3,9.8,3,23,5,9,0,0,0,0,1,0,1,0,0,0,0
Grilled Chicken Cilantro Jalapeno Marinade,152,63,6.9,1.3,0,55.5,268.2,1.7,0.5,0.2,20.6,10,7,1,2,0,0,0,0,0,0,0,0,0,0,0
Grilled Santa Maria Tofu,37,14,1.6,0.2,0,0,107.4,1.7,0.2,0.7,4,1,0,2,4,0,1,0,0,0,1,0,0,0,0,0
Roasted Yukon Potatoes & Fennel,63,1,0.1,0,0,0,41.7,13.5,1.2,0,1.8,0,28,1,4,0,1,0,0,0,0,0,0,0,0,0
Blood Oranges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kiwi,38,2,0.3,,,0,3.1,9.2,2.1,,0.6,2,78,2,1,0,1,0,0,0,0,0,0,0,0,0
Pineapple,11,0,0,0,0,0,0.2,3,0.3,2.2,0.1,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0
Red Grapes,19,1,0.1,0,0,0,0.6,4.9,0.3,4.6,0.2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
7 Grain Bread,110,14,1.6,0,,0,109.9,25.1,6.3,1.6,6.3,0,0,16,8,1,0,0,0,1,0,1,0,0,0,0
