Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Beef Broth,15,5,0.6,0.2,0,1.1,127.6,1.4,0,0,0.9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chicken Broth,13,3,0.3,0.1,0,0.8,127.6,1.7,0,0,0.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Mediterranean Spiced Beef Soup,70,34,3.7,0.8,0,12.2,234,3.9,0.5,1.6,5.5,6,19,1,12,0,0,0,0,1,1,0,0,0,0,0
Roasted Vegetable Broth,27,5,0.6,0.1,0,0,190.3,5,1.1,2.6,1,54,7,2,1,0,1,0,0,1,1,0,0,0,0,0
Kidney Beans,57,0,0,0,0,0,5244.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lentils,27,1,0.1,0,0,0,0.5,4.7,1.9,0.4,2.1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0
Macaroni Noodles,90,5,0.5,0.1,0,0,284.1,17.5,1,0.3,3.3,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0
Rice Pilaf,234,13,1.4,0.7,0,2.7,85.3,49.1,0.9,0.2,4.6,1,0,2,15,1,0,0,0,1,1,1,0,0,0,0
Roasted Cauliflower,29,8,0.9,0.1,0,0,87.8,4.6,2.2,1.8,1.8,0,68,2,7,0,1,0,0,0,0,0,0,0,0,0
Roasted Mushrooms,11,4,0.4,0.1,0,0,27,1.5,0.6,0.7,0.6,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0
Roasted Sweet Potatoes,28,1,0.1,0,0,0,29.9,6.3,1,2,0.6,116,10,1,1,0,1,0,0,0,0,0,0,0,0,0
Roasted Yellow Squash,11,6,0.6,0.1,0,0,23.9,1,0.3,0.7,0.3,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0
Roasted Zucchini,11,7,0.8,0.1,0,0,31.3,0.8,0.3,0.5,0.3,6,6,1,1,0,1,0,0,0,0,0,0,0,0,0
Sauteed Kale,48,19,2.1,0.3,0,0,70.5,6.7,1.3,0.3,2,174,115,8,6,0,1,0,0,0,0,0,0,0,0,0
Steamed Carrots,29,1,0.2,0,0,0,48.4,6.9,2.5,2.9,0.6,284,5,3,2,0,1,0,0,0,0,0,0,0,0,0
Tomatoes,5,0,0,0,0,0,40.5,1.1,0.3,0.7,0.2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0
Spaghetti & Meatballs,275,93,10.3,3.2,0,25.7,468.2,32.6,0.8,2.6,12.4,3,3,5,19,0,0,0,0,1,1,1,0,0,0,0
Marinara Sauce,65,23,2.5,0.4,0,0,316.6,10.5,2.5,2.3,2.3,18,21,4,14,0,1,0,0,0,0,0,0,0,0,1
Spaghetti w/ Broccoli Pesto,213,68,7.5,1.5,0,2.7,722.6,30.2,1,0.5,6.3,11,33,7,8,1,0,0,0,1,0,1,0,0,0,0
Moroccan Roasted Chicken,172,112,12.4,2.7,0,43.4,202.4,1.3,0.2,0.2,13.6,5,6,1,4,0,0,0,0,0,0,0,0,0,0,0
Basmati Rice,54,0,0.1,0,0,0,0,11.9,,,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
Roasted Beets & Sweet Potatoes w/ Polenta,468,236,26.2,13.5,0.5,62.9,515.4,47.6,2.7,7.7,12.5,113,18,27,13,0,0,0,0,1,1,1,0,0,0,0
Lentil & Roasted Sweet Potato Salad,105,53,5.9,0.8,0,0,180,10.8,3,2.2,2.9,102,10,2,17,0,1,0,0,0,0,0,0,0,0,0
Moroccan CousCous Almond Salad,89,18,2,0.1,0,0,19.2,16.5,3.1,3.9,2.7,50,3,2,5,0,1,0,1,1,0,0,0,0,0,0
Moroccan Tomato & Cucumber Salad,61,37,4.1,0.6,0,0,45.2,6.3,1,2,0.7,11,47,1,2,0,1,0,0,0,0,0,0,0,0,0
Hummus,129,68,7.5,1,0,0,307,13,2.7,0.1,3.3,0,5,4,16,0,1,0,0,0,0,0,0,0,0,0
Muhammara (Spicy Roasted Pepper Dip),90,58,6.4,0.8,0,0,131.6,7.6,0.8,1.8,1.4,22,104,1,10,0,1,0,1,1,1,0,0,0,0,0
Smoked Salmon Mousse,152,113,12.5,5.2,0.2,32.8,202.4,5.1,1,1.2,5.4,11,5,5,8,0,0,0,0,0,0,1,0,0,1,0
Tzatziki Sauce,72,49,5.4,4.2,0,9.4,21.2,2.1,0.1,1.8,3.6,1,3,5,1,1,0,0,0,0,0,1,0,0,0,0
Feta Cheese,75,54,6,4.2,,25.2,316.4,1.2,0,1.2,4,2,0,14,1,1,0,0,0,0,0,1,0,0,0,0
Greek Oregano Tomatoes,8,1,0.1,0,0,0,116.8,1.4,0.3,0.7,0.3,1,5,1,2,0,1,0,0,0,0,0,0,0,0,0
Green Pitted Olives,33,32,3.6,0.4,,0,680.4,0.4,,,0.4,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0
Kalamata Olives,96,92,10.1,1.1,,0,932.1,2.5,,,0.6,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0
Marinated  Olives,48,41,4.5,0.6,0,0,347.1,2,0.6,0.3,0.4,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0
Carbonara Pizza,267,124,13.7,4.9,0,29.4,382.9,24.9,1.2,0.6,13,8,4,14,10,0,0,0,0,1,0,1,1,0,0,0
Cheese Pizza,203,81,9,2.7,0,11.2,249.9,24.5,1.2,0.8,8.1,3,2,8,9,1,0,0,0,1,0,1,0,0,0,0
Pepperoni Pizza,241,112,12.4,3.8,0.1,19.4,378.8,24.5,1.2,0.8,9.9,3,3,9,10,0,0,0,0,1,0,1,0,0,0,0
Caesar Salad,149,102,11.3,2.8,0,10.5,276.9,8.3,1.2,0.9,4.1,54,4,10,4,0,0,0,0,1,1,1,1,0,1,0
Greek Salad,69,56,6.2,0.8,0,0,123,3.3,0.8,1.4,0.5,11,36,1,3,0,1,0,0,0,0,0,0,0,0,0
Blended Burger,386,155,17.2,7.3,0.8,103.1,501.1,32.9,1.8,5.4,24.8,3,2,5,23,0,0,0,0,1,1,1,1,0,0,0
White Wine Chicken Breast,109,21,2.4,0.7,0,56.4,49.1,0,0,0,20.6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
White Wine Chicken Sandwich,242,43,4.7,1.1,0,56.4,249.6,25.6,3.8,4.2,24.9,0,0,6,11,0,0,0,0,1,1,0,0,0,0,0
Crusty Gruyere Grilled Cheese Sandwich w/ Bacon,324,255,28.2,16.6,0.4,78.8,373.9,3.7,0.2,1.3,14.4,17,0,46,2,0,0,0,0,1,0,1,0,0,0,0
Curly Fries,271,130,14.4,2.1,0,0,617.8,32.2,3,0,3.4,0,3,2,6,0,1,0,0,1,0,0,0,0,0,0
Garlic Herb Parmesan Fries,339,180,19.9,3.7,0.1,5.8,356,33.9,3.7,0.3,6.4,3,12,12,7,1,0,0,0,1,0,1,0,0,0,0
Sweet Potato Fries,85,27,3,5,0,0,30,16,1,4,1,260,15,2,2,0,1,0,0,1,0,0,0,0,0,0
Veggie Burger,310,71,7.8,1.2,0.1,1.9,713.1,40.3,8.6,6.8,22,33,10,12,20,0,1,0,0,1,1,0,0,0,0,0
