Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Miso Soup,29,10,1.1,0.2,0,0.1,284,3.1,0.6,0.6,2.1,1,1,4,3,0,0,0,0,0,1,1,0,0,1,0
Seaweed Soup,49,31,3.4,0.8,0,5,143.6,3.1,0.2,1.6,1.8,0,1,2,3,0,0,0,0,1,1,0,0,0,1,0
Korean Grilled Beef,241,187,20.7,8.4,0,49.4,88.8,0.8,0,0.6,12,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0
Spicy Vegetable Kimchi Fried Rice,240,49,5.5,0.8,0,0,361.4,42.4,2.9,1.5,6.8,24,28,8,8,0,1,0,0,1,1,0,0,0,0,0
Thai Fried Chicken Wings,254,96,10.7,2.9,0,97.5,570.5,1.5,0.4,0.5,35.7,2,2,3,8,0,0,0,0,1,1,0,0,0,1,0
Green Jade Delight,20,5,0.6,0.1,0,0.1,47.8,3.3,0.5,1.7,0.6,8,6,1,1,0,1,0,0,1,1,0,0,0,0,0
Miso Shrimp Flatbread,125,34,3.7,0.5,0,23.7,323,17.5,1,2.8,5.5,8,34,4,6,0,0,0,0,1,1,1,0,1,0,0
Panang Potato Flatbread,287,150,16.7,12,0,0.1,514.3,32.4,2,3.3,4.6,1,13,3,14,0,0,0,0,1,1,1,0,1,0,0
Spicy Pork & Kimchi Taco,370,161,17.8,5.2,0,33.9,668.3,36.3,4.8,3.1,14.7,2,17,2,7,0,0,0,0,1,1,0,1,0,1,0
Ao Nori Fries,32,16,1.7,0.4,0,0.5,63,3.2,0.4,0,1.3,2,1,1,4,1,0,0,0,1,1,0,0,0,0,0
Teriyaki Chicken Sandwich,428,196,21.8,6.5,0.1,99.8,690.1,34.5,1.4,6.2,23.7,19,8,4,16,0,0,0,0,1,1,1,1,0,0,0
Seared Tofu w/ Spicy Sauce,461,376,41.7,5.9,0,0,648.8,11.8,2.9,5.2,15.2,25,5,62,17,0,1,0,0,1,1,0,0,0,0,0
Brown Calrose Rice,58,4,0.4,0.1,0,0,0.5,12.1,0.9,,1.2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
Jasmine Rice,64,1,0.1,0,0,0,0.5,13.9,0.2,0,1.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Stir-Fried Noodles & Bean Sprouts,79,15,1.7,0.2,0,0,169.4,13.7,0.2,0.7,2.3,0,4,1,3,0,1,0,0,1,1,0,0,0,0,0
Blondie w/ Walnuts,95,43,4.8,3.2,0.1,15.5,29.8,12.3,0.1,6.3,1,2,0,1,2,1,0,0,1,1,1,1,1,0,0,0
Chocolate Silk Pie,260,154,17.1,7,0.2,53.6,216.5,24.4,0.5,10.4,2.9,7,0,4,4,0,0,0,0,1,1,1,1,0,0,0
Triple Chocolate Chip Cookie,343,155,17.1,5.1,2.6,17.1,197.1,42.9,1.7,27.4,3.4,0,0,0,10,1,0,0,0,1,1,1,1,0,0,0
Chinese Walnut Cookie,149,83,9.1,4.6,0.3,21.9,82.6,15.3,0.5,6.7,2.1,5,0,1,4,1,0,1,1,1,1,1,1,0,0,0
Chinese Cucumber Salad,11,6,0.6,0.1,0,0,1109.6,1.3,0.3,0.8,0.3,3,3,0,0,0,1,0,0,1,1,0,0,0,0,0
Fish Cake Banchan,79,48,5.3,2,0,7.5,8.8,5,0,0,2.7,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Indian Yogurt Dip w/ Herbs & Spices,17,8,0.8,0.5,0,3.3,62.6,1.5,0,1.2,0.9,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0
Kimchi,7,0,0,0,,0,167.1,1,0.5,0.2,0.2,,,0,1,0,0,0,0,0,0,0,0,0,1,0
Pickled Bamboo Shoots,5,1,0.1,0,0,0,2,0.9,0.4,0.5,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Spicy Sansi,18,0,0,0,0,0,74.8,4.6,0.7,3.9,0.2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Spinach w/ Sesame Seeds,13,4,0.5,0.1,0,0,37.1,1.7,1,0.2,1.3,80,20,5,7,0,1,0,0,1,1,0,0,0,0,0
