Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Roasted Pork & Rosemary Soup,118,29,3.2,0.9,0,18.4,290.3,12.8,3.1,3.1,9.5,111,8,4,6,0,0,0,0,0,0,0,0,0,0,0
Tomato & Wild Rice Soup,51,10,1.1,0.2,0,0,120,13.8,1.3,1.3,1.1,3,9,2,6,0,1,0,0,0,1,0,0,0,0,0
Turkey Noodle Soup,59,23,2.5,0.5,0,13.9,94.5,3,0.5,0.8,5.9,28,2,1,2,0,0,0,0,1,1,1,0,0,0,0
Tuscan Bean Soup,92,7,0.8,0.1,0,0,585.1,16.9,4.9,1.7,5.9,4,12,6,9,0,1,0,0,0,1,0,0,0,0,0
Steak Black Lentil & Butternut Squash Bowl,173,51,5.6,2,0,44.3,296.8,12.8,4.9,1.5,19.1,105,40,6,16,0,0,0,0,0,0,0,0,0,0,0
Winter Salad Mixed Grains & Avocado Bowl,238,114,12.6,1.7,0,0,224,27,5.2,2.1,8.4,44,27,5,15,0,1,0,0,1,1,0,0,0,0,0
Smoked Trout Beet & Farro Salad,62,30,3.4,0.5,0,8.5,25.6,5.9,1,1.5,2.7,2,6,1,3,0,0,0,0,1,1,0,0,0,1,0
Cucumber & Tomato Salad,55,46,5.1,0.9,0,0.8,108.1,2.1,0.4,1,0.8,6,7,2,1,1,0,0,0,0,0,1,0,0,0,1
Barley & Kale Pesto Salad,156,54,6,0.8,0,0.4,36.1,23.6,0.7,0.2,3.3,42,43,3,6,1,0,0,1,1,0,1,0,0,0,0
Brussels Sprouts Slaw,40,6,0.6,0.1,0,0,31.2,8.3,2.2,4.4,1.7,39,62,2,4,0,1,0,0,0,0,0,0,0,0,0
Flatbread Sticks,46,13,1.4,0.2,0,0.1,81.3,7,0.3,0.3,1.3,,0,0,1,1,0,0,0,1,1,1,0,0,0,0
Roasted Potato Salad,44,5,0.6,0.1,0,0.1,85.2,8.6,1.1,0.9,1.2,2,9,1,2,0,1,0,0,0,0,0,0,0,0,0
Spicy Roasted Beet & Carrot Salad,43,18,2,0.3,0,0,169.3,6.1,1.4,4.3,0.9,62,6,1,2,0,1,0,0,0,0,0,0,0,0,0
Brown Jasmine Rice,63,5,0.5,0.1,0,0,2.8,13,1,0.2,1.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Edamame Beans,120,49,5.4,0.6,0,0,212.6,9.4,3.6,,10.5,3,24,12,12,0,1,0,0,0,1,0,0,0,0,0
Sauteed Rainbow Swiss Chard,12,2,0.2,0,0,0,182.9,2.3,1.2,0.6,1,0,16,3,7,0,1,0,0,0,0,0,0,0,0,0
Cuban Pork Pizza,157,36,4,1.3,0,14.4,279.5,22.5,1.5,0.5,8.5,2,3,6,8,0,0,0,0,1,1,1,0,0,0,0
Shishito Pepper Flatbread,124,33,3.7,0.5,0,0,93.5,19.2,2.3,1.2,5.5,9,24,12,8,1,0,0,0,1,1,0,0,0,0,0
Green Chile Chicken Slider,214,40,4.4,0.9,0,30.8,219,29.6,5,7.8,15.9,23,14,6,12,0,0,0,0,1,0,0,0,0,0,0
Grilled Chicken Tenderloin - Fresh Herb Marinade,115,41,4.6,0.8,0,17.2,319.5,8.5,1,1,9.9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Peppercorn-Crusted Portobello Stacker,93,39,4.3,0.6,0,0,282.1,11.8,2.2,7,3.3,6,4,1,4,1,0,0,0,1,1,0,0,0,0,0
Baked Russet Potato,424,5,0.6,0.2,0,0,45.6,96.4,10,5.4,11.4,1,73,7,27,0,1,0,0,0,0,0,0,0,0,0
Blood Oranges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kiwi,38,2,0.3,,,0,3.1,9.2,2.1,,0.6,2,78,2,1,0,1,0,0,0,0,0,0,0,0,0
Pineapple,11,0,0,0,0,0,0.2,3,0.3,2.2,0.1,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0
Red Grapes,19,1,0.1,0,0,0,0.6,4.9,0.3,4.6,0.2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
7 Grain Bread,110,14,1.6,0,,0,109.9,25.1,6.3,1.6,6.3,0,0,16,8,1,0,0,0,1,0,1,0,0,0,0
Lemon Blueberry Bread,98,28,3.2,1.8,0.1,17.3,57.5,17,0.2,11.1,1.1,2,2,1,4,1,0,0,0,1,0,1,1,0,0,0
Spiced Gingerbread,115,37,4.1,0.4,0,10.2,60.5,17.6,0.3,0.3,1.9,0,1,3,8,1,0,0,0,1,0,0,1,0,0,0
Whole Wheat Levain Bread,95,11,1.2,0,0,0,159.5,16.5,4.7,3.5,4.7,0,0,18,5,1,0,0,0,1,0,0,0,0,0,0
Almond Cashew Butter,166,127,14.1,1.8,0,0,76.4,7.4,2.2,1.4,5.3,0,0,5,7,0,1,1,1,0,0,0,0,0,0,0
Apple & Asian Pear Compote,31,3,0.3,0,0,0,2.3,7.5,1.3,5.5,0.2,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0
Blueberry & Roasted Red Grape Marmalade,99,4,0.5,0,0,2.3,6.3,20.3,3.3,13.7,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Chocolate Peanut Butter,167,122,13.5,2.3,0,0.1,205,8,2.3,3.1,6.1,0,0,1,4,1,0,1,0,0,1,1,0,0,0,0
Cranberry Walnut Loaf,153,28,3.1,0.5,1,0,173.7,29.6,0.5,16.3,2,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0
Honey Whole Wheat Bread,97,12,1.3,0,0,0,159.1,16.8,4.4,3.5,4.4,0,0,13,5,1,0,0,0,1,1,0,0,0,0,0
Pear-Date Compote,50,0,0,0,0,0,0.3,13.4,1.3,11.5,0.3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Blueberries,14,2,0.2,0,0,0,0.3,3.5,0.8,2.4,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Granola,123,39,4.4,1.1,,0,72.3,19.4,1.7,,2.9,0,0,2,6,1,0,0,1,1,0,1,0,0,0,0
Lowfat Greek Yogurt,19,5,0.6,0.4,0,1.9,9.4,1.1,0,1.1,2.4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
Mango,17,1,0.1,0,0,0,0.3,4.2,0.4,3.8,0.2,6,17,0,0,0,1,0,0,0,0,0,0,0,0,0
Cherry Lime Water,4,0,0,0,0,0,0.2,1.2,0.4,0.4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
