Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Beef Broth,15,5,0.6,0.2,0,1.1,127.6,1.4,0,0,0.9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Brown Rice,102,5,0.5,0,0,0,17.5,21.9,1.5,0,2.2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1
Chicken Broth,13,3,0.3,0.1,0,0.8,127.6,1.7,0,0,0.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Mediterranean Spiced Beef Soup,70,34,3.7,0.8,0,12.2,234,3.9,0.5,1.6,5.5,6,19,1,12,0,0,0,0,1,1,0,0,0,0,0
Roasted Vegetable Broth,27,5,0.6,0.1,0,0,190.3,5,1.1,2.6,1,54,7,2,1,0,1,0,0,1,1,0,0,0,0,0
Kidney Beans,57,0,0,0,0,0,5244.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lentils,27,1,0.1,0,0,0,0.5,4.7,1.9,0.4,2.1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0
Macaroni Noodles,90,5,0.5,0.1,0,0,284.1,17.5,1,0.3,3.3,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0
Roasted Carrots,20,8,0.9,0.1,0,0,37.6,3,0.9,1.5,0.3,105,3,1,1,0,1,0,0,0,0,0,0,0,0,0
Roasted Cauliflower,29,8,0.9,0.1,0,0,87.8,4.6,2.2,1.8,1.8,0,68,2,7,0,1,0,0,0,0,0,0,0,0,0
Roasted Mushrooms,11,4,0.4,0.1,0,0,27,1.5,0.6,0.7,0.6,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0
Roasted Yellow Squash,11,6,0.6,0.1,0,0,23.9,1,0.3,0.7,0.3,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0
Roasted Zucchini,11,7,0.8,0.1,0,0,31.3,0.8,0.3,0.5,0.3,6,6,1,1,0,1,0,0,0,0,0,0,0,0,0
