Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Miso Soup,44,16,1.7,0.4,0,0.1,426,4.6,0.9,0.9,3.2,1,2,6,4,0,0,0,0,0,1,1,0,0,1,0
Seaweed Soup,49,31,3.4,0.8,0,5,143.6,3.1,0.2,1.6,1.8,0,1,2,3,0,0,0,0,1,1,0,0,0,1,0
Chicken & Shrimp Pad Thai,290,101,11.2,1.9,0.1,111.9,466.2,27.7,3,7.6,22.1,15,29,17,16,0,0,1,0,1,1,1,1,1,0,0
Pad Thai,274,133,14.8,2.4,0.1,42.4,306.1,30.3,3.8,10.2,9.2,15,30,15,16,1,0,1,0,1,1,1,1,0,0,0
Taiwanese Beef Noodle Soup,147,37,4.1,1.2,0,36.3,720.7,14.9,1.4,2,13.3,29,6,2,8,0,0,0,0,1,1,0,0,0,1,0
Seaweed Salad Bowl,239,134,14.9,1.8,0,3.1,733.5,25.1,2.5,6.2,3.5,14,24,3,5,1,0,0,0,1,1,0,1,0,0,0
Indian Red Lentil Stew,182,90,9.9,5.4,0.3,21.7,614,18.3,5.8,1.7,6.3,11,10,3,16,1,0,0,0,0,1,1,0,0,0,0
Naan Bread,58,16,1.8,0.3,0,0.1,101.6,8.7,0.3,0.4,1.6,,0,1,2,1,0,0,0,1,1,1,0,0,0,0
Cilantro Chutney,5,1,0.1,0,0,0,91.8,1,0.4,0.3,0.3,13,8,1,1,0,1,0,0,0,0,0,0,0,0,1
Shrimp Chili Jam,160,147,16.3,1.5,0,0,180.1,0.9,0,0,1.9,0,0,6,4,0,0,0,0,0,0,0,0,1,0,1
Spicy Hoisin Sauce,31,4,0.5,0.1,0,0.4,548.9,6.2,0.4,6.8,0.5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
Spicy Mayo,65,46,5.1,0.8,0,4,556.7,3.8,0,1.1,0.2,1,27,0,0,1,0,0,0,0,1,0,1,0,0,1
Tamarind Chutney,190,3,0.3,0.1,0,0,59,49.4,2.7,45.9,1.2,0,3,5,7,0,1,0,0,0,0,0,0,0,0,1
Korean Egg Snack Sandwich,249,109,12.1,2.7,0.3,128.5,2408.1,26.1,0.5,1.9,8.7,8,6,7,11,1,0,0,0,1,1,1,1,0,0,0
Siam Yellow Curry Fries,188,89,9.8,4,0,7.6,156.3,23.8,0.4,0,2.5,1,10,2,5,0,1,0,0,0,1,0,0,0,0,0
Teriyaki Chicken Sandwich,428,196,21.8,6.5,0.1,99.8,690.1,34.5,1.4,6.2,23.7,19,8,4,16,0,0,0,0,1,1,1,1,0,0,0
Seared Tofu w/ Spicy Sauce,461,376,41.7,5.9,0,0,648.8,11.8,2.9,5.2,15.2,25,5,62,17,0,1,0,0,1,1,0,0,0,0,0
Brown Calrose Rice,58,4,0.4,0.1,0,0,0.5,12.1,0.9,,1.2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
Jasmine Rice,64,1,0.1,0,0,0,0.5,13.9,0.2,0,1.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Stir-Fried Noodles & Bean Sprouts,79,15,1.7,0.2,0,0,169.4,13.7,0.2,0.7,2.3,0,4,1,3,0,1,0,0,1,1,0,0,0,0,0
Blondie w/ Walnuts,95,43,4.8,3.2,0.1,15.5,29.8,12.3,0.1,6.3,1,2,0,1,2,1,0,0,1,1,1,1,1,0,0,0
Chocolate Silk Pie,260,154,17.1,7,0.2,53.6,216.5,24.4,0.5,10.4,2.9,7,0,4,4,0,0,0,0,1,1,1,1,0,0,0
Triple Chocolate Chip Cookie,171,77,8.6,2.6,1.3,8.6,98.6,21.4,0.9,13.7,1.7,0,0,0,5,1,0,0,0,1,1,1,1,0,0,0
Ginger Pear Cake,324,160,17.8,1.5,0,20.9,204.7,40.1,1.6,24.8,3.8,1,3,3,13,1,0,0,1,1,0,0,1,0,0,0
Green Tea Macaroons,183,88,9.8,8.2,0.1,4.4,88.3,24,1.3,11,2,1,0,1,6,1,0,0,0,1,0,1,1,0,0,0
Mochi Assortment,0,0,0,0,0,0,0,0,,,0,,,,,0,0,0,0,0,1,0,0,0,0,0
Chinese Cucumber Salad,11,6,0.6,0.1,0,0,1109.6,1.3,0.3,0.8,0.3,3,3,0,0,0,1,0,0,1,1,0,0,0,0,0
Cucumber Sunomono Salad,10,0,0,0,0,0,94.4,2.2,0.3,1.9,0.3,1,3,0,6,0,1,0,0,0,0,0,0,0,0,0
Fish Cake Banchan,79,48,5.3,2,0,7.5,8.8,5,0,0,2.7,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Indian Yogurt Dip w/ Herbs & Spices,17,8,0.8,0.5,0,3.3,62.6,1.5,0,1.2,0.9,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0
Kimchi,7,0,0,0,,0,167.1,1,0.5,0.2,0.2,,,0,1,0,0,0,0,0,0,0,0,0,1,0
Pickled Bamboo Shoots,5,1,0.1,0,0,0,2,0.9,0.4,0.5,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Spicy Sansi,18,0,0,0,0,0,74.8,4.6,0.7,3.9,0.2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Spinach w/ Sesame Seeds,13,4,0.5,0.1,0,0,37.1,1.7,1,0.2,1.3,80,20,5,7,0,1,0,0,1,1,0,0,0,0,0
