Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
BBQ Chicken Quesadilla,766,333,37,19.2,0,179.7,1663.7,45.4,1,8.4,60.1,17,3,64,36,0,0,0,0,1,1,1,0,0,0,0
Vegan BBQ Chicken Quesadilla,894,346,38.3,8.2,0,0,1944.2,105.2,16.4,7.6,30.2,14,22,8,40,0,1,0,0,1,1,0,0,0,0,0
Vegetarian BBQ Chicken Quesadilla,634,292,32.4,16.1,0,82.8,1369.4,45.9,3.3,7.1,37.3,22,10,64,10,1,0,0,0,1,1,1,0,0,0,0
Tan Tan Ramen Noodle Soup,762,438,48.5,12.3,0.3,218.8,1960.3,49.8,2.4,3.4,29.2,11,2,8,14,0,0,0,0,1,1,0,1,0,0,0
Vegetable Ramen Soup,248,83,9.2,2.1,0,0.2,1595.9,35.8,4.6,5,8.2,201,23,10,16,0,0,0,0,1,1,0,1,0,1,0
BBQ Korean Pork Spare Ribs,843,475,52.6,16.8,0,169.3,1235.3,42.4,3.2,12.9,44.4,41,19,13,43,0,0,0,0,1,1,0,1,0,0,0
Korean Vegetable Bowl,314,94,10.4,1.5,0,0,629.9,45.9,4.8,2,11.2,107,42,12,19,0,0,0,0,1,1,0,0,0,1,0
California Roll,388,55,6.1,1,0,12.7,1183.3,123.6,6,7.8,10.4,2,10,21,51,0,0,0,0,1,1,1,1,1,1,0
Cucumber & Avocado Roll,348,59,6.5,1,0,0,679.4,117.1,7.2,4.8,6.9,4,15,21,51,0,0,0,0,1,1,1,0,0,1,0
Spicy Salmon Roll,439,70,7.8,1.2,0,21.5,3726.1,112.3,7.3,5.8,22.1,475,107,22,39,0,0,0,0,1,1,1,1,0,1,0
Spicy Salmon Roll Sample Box,403,64,7.1,1.1,0,13.9,2328.7,116.4,7,6.1,15.4,239,60,21,45,0,0,0,0,1,1,1,1,1,1,0
Watermelon Water,264,3,0.4,0,0,0,2.3,69.5,0.9,66.3,1.4,27,31,2,10,0,1,0,0,0,0,0,0,0,0,0
Beef & Broccoli,131,42,4.7,1.2,0,25.3,476.6,12.7,1.6,1.4,9.9,30,78,3,6,0,0,0,0,1,1,0,1,0,0,0
Orange Chicken,403,191,21.1,5.6,0,117.2,403.8,24.8,0.4,12.1,27.4,2,3,3,12,0,0,0,0,1,1,0,0,0,0,0
Sweet & Sour Pork,120,32,3.6,1.2,0,19.4,190.7,14.7,0.5,5.9,7.2,8,40,2,7,0,0,0,0,1,0,0,1,0,0,0
Vegetable Stir-Fry,201,57,6.4,0.9,0,0,299.4,32.3,5.1,4.4,3.9,91,7,3,6,0,1,0,0,0,0,0,0,0,0,0
Eggplant & Tofu w/ Spicy Garlic,220,73,8.1,1.2,0,0,938.6,26.5,4,16.7,13.3,5,34,51,15,0,1,0,0,1,1,0,0,0,0,0
Kung Pao Chicken,332,147,16.3,3.4,0,57.8,701,28.4,1.8,6.9,17.9,22,90,3,19,0,0,1,0,1,1,0,1,0,0,0
Machaca Breakfast Burrito,627,291,32.3,10.9,0.4,256.1,1781.7,52.2,3.5,5,32.4,14,42,7,19,0,0,0,0,1,1,1,1,0,0,0
Sausage Egg & Tator Tot Burrito,843,459,50.9,16.9,0.9,378.8,1546.9,58.7,3.4,4.2,36.7,17,1,18,16,0,0,0,0,1,1,1,1,0,0,0
Bacon Egg & Tator Tot Burrito,860,425,47.1,14.1,0.7,369.9,1791.6,67,1.7,2.4,39.8,17,0,18,31,0,0,0,0,1,1,1,1,0,0,0
Chorizo & Egg Burrito,901,430,47.6,15.5,1.2,569.4,1415.9,74.3,9.1,5.3,43.8,22,11,17,40,0,0,0,0,1,1,1,1,0,0,0
Ham Egg & Cheese Burrito,774,416,46.1,14.8,1.2,585.5,1696.9,47.6,3.1,5.4,41.2,27,49,24,19,0,0,0,0,1,1,1,1,0,0,0
Egg & Cheese Burrito,555,363,40.3,15.3,0.6,304.9,574,19.6,1.6,2.4,26.3,19,0,48,14,1,0,0,0,1,1,1,1,0,0,0
Vegetable & Egg Breakfast Burrito,734,364,40.4,12.2,1.1,527.9,1246.5,58.6,3.6,11.6,31.8,36,136,27,18,1,0,0,0,1,1,1,1,0,0,0
English Muffin Sandwich w/ Bacon,492,180,20,8.1,0,220.3,1188,50.9,4,4.3,26.8,8,3,29,32,0,0,0,0,1,1,1,1,0,0,0
English Muffin Sandwich w/ Canadian Bacon,456,131,14.5,6.3,0,222.7,1422.2,51.5,4,4.3,29.5,8,3,30,32,0,0,0,0,1,1,1,1,0,0,0
English Muffin Sandwich w/ Pork Sausage,537,218,24.2,9.4,0.1,237.2,1083.6,50.7,4,4.3,28.4,8,4,30,34,0,0,0,0,1,1,1,1,0,0,0
Vegetarian English Muffin Sandwich,380,100,11.1,5.2,0,198.3,737,50.7,4,4.3,19.5,8,3,29,30,1,0,0,0,1,1,1,1,0,0,0
Bagel Sandwich w/ Bacon,237,163,18.1,7.3,0,221.3,699.7,0.9,0,0.3,16.8,8,0,11,7,0,0,0,0,1,1,1,1,0,0,0
Bagel Sandwich w/ Egg & Cheese,151,107,11.9,5,0,213.8,281.3,0.6,0,0.3,9.9,11,0,11,5,1,0,0,0,1,1,1,1,0,0,0
Chicken Potstickers,308,127,14,4.2,0,22.9,837.1,33,2.6,4,12.1,40,4,4,22,0,0,0,0,1,1,0,0,0,0,0
Pork Potstickers,306,127,14.1,4.9,0,15.8,837.3,32,1.1,2.1,10.1,43,43,5,18,0,0,0,0,1,1,0,0,0,0,0
Vegetable Potstickers,161,13,1.5,0.2,0,0,454.2,26.8,0.3,0.5,6.8,40,4,2,15,1,0,0,0,1,1,0,0,0,0,0
BBQ Pork Bao Bun,323,132,14.7,5.9,,44,674.7,30.8,2.9,1.5,16.1,0,0,3,15,0,0,0,0,1,1,0,1,0,0,0
Vegetable Bao Bun,309,75,8.3,2.6,,30.6,746.3,45.4,,,13.1,20,,16,,0,0,0,0,1,1,0,0,0,0,0
Steel-Cut Oatmeal Cup,212,34,3.8,0.8,0,0,216.3,40.8,6,0,9.1,0,0,3,29,0,1,0,0,0,0,0,0,0,0,0
