Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-on
Iced Brewed Coffee,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nitro Cold Coffee,1,0,0,0,0,0,1.1,0,0,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chocolate Domes w/ Salted Caramel,567,377,41.8,23.6,0.9,116.8,150.2,47.8,3.3,32.3,5.2,24,5,12,20,0,0,0,0,1,1,1,1,0,0,0
French Lemon Meringue Tart,798,458,50.7,30.9,1.4,263.4,118.3,84.3,0.4,81.8,8.8,33,26,4,15,1,0,0,0,1,1,1,1,0,0,0
French Vanilla Custard Eclair,239,115,12.8,5,0.3,66.1,53.8,27.8,0.2,16.5,4.1,6,0,5,6,1,0,0,0,1,0,1,1,0,0,0
Milk Chocolate Cream Tart,446,254,28.1,14.7,0.3,144.3,143,42.5,1.4,30.6,6.7,12,0,13,10,1,0,0,0,1,1,1,1,0,0,0
Norwegian Cream Cake w/ Meringue & Almonds,261,130,14.4,4.2,0.2,39.4,153.7,31.7,0.4,24.1,2.8,5,0,4,5,1,0,0,1,1,1,1,1,0,0,0
Raspberry Cheesecake,347,225,25,13.9,,131.7,221.9,26.3,0,25,6.9,21,3,6,6,1,0,0,0,1,1,1,1,0,0,0
Chocolate Raspberry Macaron,501,195,21.6,6.1,0.2,18.8,57.2,73.4,3.6,65.4,9,4,0,7,14,1,0,0,1,0,1,1,1,0,0,0
Maccherones Italiani,98,43,4.8,4.3,,0,42.5,13,1.1,9.6,0.6,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
Oatmeal Raisin Cookie,448,167,18.5,4,5.3,26.4,303.3,68.6,2.6,42.2,5.3,0,0,0,11,1,0,0,0,1,1,1,1,0,0,0
Salted Caramel Crunch Cookie,403,182,20.1,9,0,33.6,313.3,51.5,2.2,33.6,2.2,4,0,0,4,1,0,0,1,1,1,1,1,0,0,0
Speculaas Sandwich Cookie,336,151,16.7,7.4,0.4,43.2,101,43.9,0.2,25.9,2.7,8,1,3,6,1,0,0,0,1,1,1,1,0,0,0
Vegan Brownie,462,236,26.2,5.2,0,0.6,267.2,55.5,4.5,32.1,6.6,1,0,8,17,0,1,0,0,1,1,0,0,0,0,0
Assorted Bagels,200,11,1.3,0.3,0,0,403.3,39.4,1.7,3.9,7.8,0,1,7,26,0,0,0,0,1,1,0,0,0,0,0
Banana Walnut Muffin,790,463,51.3,5.6,0,96.4,642.8,75.8,2.2,41.2,9.8,3,1,15,13,1,0,0,1,1,1,1,1,0,0,0
Blackberry Fan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Blueberry Muffin,787,420,46.5,7.1,0.1,105.8,726.9,86.1,1.8,48.3,8,4,1,16,11,1,0,0,0,1,1,1,1,0,0,0
Butter Croissant,448,228,25.3,0,0,0,576.4,46.2,0.4,0,9.3,3,0,5,22,1,0,0,0,1,1,1,1,0,0,0
